spec_type,spec_text,code_target,similarity
UseCase,系统用例：物品登记,失物招领系统服务模块::处理物品登记请求,0.589
UseCase,系统用例：失物发布,失物招领系统服务模块::处理失物发布请求,0.596
UseCase,系统用例：信息匹配与推荐,管理员模块::信息匹配与推荐 - 人工审核,0.703
UseCase,系统用例：联系与认领管理,管理员模块::联系与认领管理审核,0.686
UseCase,系统用例：管理后台与审核功能,失物招领系统服务模块::处理信息审核请求,0.617
UseCase,系统用例：上传物品图片,失物招领系统服务模块::上传物品图片处理,0.75
UseCase,系统用例：填写基本信息,失物招领系统服务模块::处理信息审核请求,0.606
UseCase,系统用例：身份验证流程,失物招领系统服务模块::处理身份验证请求,0.728
UseCase,系统用例：信息匹配与推荐 - 智能,管理员模块::信息匹配与推荐 - 人工审核,0.715
UseCase,系统用例：信息匹配与推荐 - 人工,管理员模块::信息匹配与推荐 - 人工审核,0.754
Actor-UseCase,角色 普通用户 执行用例 物品登记,普通用户模块::发起物品登记请求,0.644
Actor-UseCase,角色 普通用户 执行用例 失物发布,普通用户模块::发起失物发布请求,0.59
Actor-UseCase,角色 普通用户 执行用例 信息匹配与推荐,管理员模块::信息匹配与推荐 - 人工审核,0.638
Actor-UseCase,角色 普通用户 执行用例 联系与认领管理,管理员模块::联系与认领管理审核,0.613
Actor-UseCase,角色 管理员 执行用例 信息匹配与推荐,管理员模块::信息匹配与推荐 - 人工审核,0.749
Actor-UseCase,角色 管理员 执行用例 联系与认领管理,管理员模块::联系与认领管理审核,0.739
Actor-UseCase,角色 管理员 执行用例 管理后台与审核功能,管理员模块::联系与认领管理审核,0.694
Message,"消息传递：普通用户 发送 发起物品登记(物品名称,描述,拾取地点,时间,物品图片):登记结果 给 手机设备",失物招领系统服务模块::发送认领通知,0.583
Message,"消息传递：手机设备 发送 提交物品登记信息(物品名称,描述,拾取地点,时间,物品图片):登记结果 给 失物招领系统",失物招领系统服务模块::发送认领通知,0.606
Message,消息传递：失物招领系统 发送 返回物品登记结果:登记结果 给 手机设备,失物招领系统服务模块::发送认领通知,0.646
Message,消息传递：手机设备 发送 返回物品登记请求结果:登记结果 给 普通用户,失物招领系统服务模块::发送认领通知,0.57
Message,"消息传递：普通用户 发送 发起失物发布(失物描述,丢失地点,时间,联系方式,物品图片):发布结果 给 手机设备",失物招领系统服务模块::发送认领通知,0.586
Message,"消息传递：手机设备 发送 提交失物发布信息(失物描述,丢失地点,时间,联系方式,物品图片):发布结果 给 失物招领系统",失物招领系统服务模块::发送认领通知,0.582
Message,消息传递：失物招领系统 发送 返回失物发布结果:发布结果 给 手机设备,失物招领系统服务模块::发送认领通知,0.62
Message,消息传递：手机设备 发送 返回失物发布请求结果:发布结果 给 普通用户,失物招领系统服务模块::发送认领通知,0.556
Message,消息传递：普通用户 发送 查看匹配推荐信息():匹配结果 给 手机设备,普通用户模块::查看匹配推荐信息,0.555
Message,消息传递：手机设备 发送 请求匹配推荐信息():匹配结果 给 失物招领系统,失物招领系统服务模块::处理匹配推荐信息请求,0.598
Message,消息传递：失物招领系统 发送 返回匹配推荐结果:匹配结果 给 手机设备,失物招领系统服务模块::发送认领通知,0.582
Message,消息传递：手机设备 发送 返回匹配推荐信息结果:匹配结果 给 普通用户,普通用户模块::查看匹配推荐信息,0.485
Message,消息传递：失物招领系统 发送 发送认领通知:无 给 普通用户,失物招领系统服务模块::发送认领通知,0.72
Message,消息传递：普通用户 发送 发起身份验证请求(丢失细节等信息):验证结果 给 手机设备,普通用户模块::发起身份验证请求,0.668
Message,消息传递：手机设备 发送 验证身份信息(丢失细节等信息):验证结果 给 失物招领系统,失物招领系统服务模块::发送认领通知,0.665
Message,消息传递：失物招领系统 发送 返回身份验证结果:验证结果 给 手机设备,失物招领系统服务模块::发送认领通知,0.662
Message,消息传递：手机设备 发送 返回身份验证请求结果:验证结果 给 普通用户,普通用户模块::发起身份验证请求,0.618
Message,消息传递：管理员 发送 发起身份验证审核(用户信息):审核结果 给 电脑终端,失物招领系统服务模块::发送认领通知,0.631
Message,消息传递：电脑终端 发送 提交身份验证审核请求(用户信息):审核结果 给 失物招领系统,失物招领系统服务模块::处理身份验证审核请求,0.702
Message,消息传递：失物招领系统 发送 返回身份验证审核结果:审核结果 给 电脑终端,失物招领系统服务模块::发送认领通知,0.705
Message,消息传递：电脑终端 发送 返回身份验证审核请求结果:审核结果 给 管理员,失物招领系统服务模块::发送认领通知,0.621
Message,消息传递：管理员 发送 发起信息审核(失物招领信息):审核结果 给 电脑终端,失物招领系统服务模块::发送认领通知,0.636
Message,消息传递：电脑终端 发送 提交信息审核请求(失物招领信息):审核结果 给 失物招领系统,失物招领系统服务模块::发送认领通知,0.679
Message,消息传递：失物招领系统 发送 返回信息审核结果:审核结果 给 电脑终端,失物招领系统服务模块::发送认领通知,0.679
Message,消息传递：电脑终端 发送 返回信息审核请求结果:审核结果 给 管理员,失物招领系统服务模块::处理信息审核请求,0.591
Control,控制结构：opt 条件是 若身份验证成功,管理员模块::发起身份验证审核请求,0.629
